SentenceID,Transcript,Gender,Native,AudioPath,Split
speaker01_m_nn_utt01,aku libur sedina merga ana banjir,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt01.wav,train
speaker01_m_nn_utt02,aku pengin mangan dhawet nang omah,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt02.wav,train
speaker01_m_nn_utt03,aku kara adhiku mangan sega goreng,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt03.wav,train
speaker01_m_nn_utt04,aku tuku buku nang sekolahan,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt04.wav,train
speaker01_m_nn_utt05,aku mung duwe panuwun supaya anakku pinter lan bekti,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt05.wav,train
speaker01_m_nn_utt06,ibu tumbas lisah,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt06.wav,train
speaker01_m_nn_utt07,ibu wungu sare,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt07.wav,train
speaker01_m_nn_utt08,ibu mbopong bayi,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt08.wav,train
speaker01_m_nn_utt09,ibu dhahar sekul,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt09.wav,train
speaker01_m_nn_utt10,ibu saweg mirsani pawarta basa jawa ing tivi,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt10.wav,train
speaker01_m_nn_utt11,bapak lenggah ing ngisor wit pelem,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt11.wav,train
speaker01_m_nn_utt12,bapak minggah wit rambutan,male,False,D:\sppech\tubes_2_asr_javanese\data\audio_input\speaker01_m_nn_utt12.wav,train
