SentenceID,Transcript,Device
speaker01_m_nn_utt01,aku libur sedina merga ana banjir,
speaker01_m_nn_utt02,aku pengin mangan dhawet nang omah,
speaker01_m_nn_utt03,aku kara adhiku mangan sega goreng,
speaker01_m_nn_utt04,aku tuku buku nang sekolahan,
speaker01_m_nn_utt05,aku mung duwe panuwun supaya anakku pinter lan bekti,
speaker01_m_nn_utt06,ibu tumbas lisah,
speaker01_m_nn_utt07,ibu wungu sare,
speaker01_m_nn_utt08,ibu mbopong bayi,
speaker01_m_nn_utt09,ibu dhahar sekul,
speaker01_m_nn_utt10,ibu saweg mirsani pawarta basa jawa ing tivi,
speaker01_m_nn_utt11,bapak lenggah ing ngisor wit pelem,
speaker01_m_nn_utt12,bapak minggah wit rambutan,
speaker01_m_nn_utt13,bapak maculi sawah ing mburi omahku,
speaker01_m_nn_utt14,bapak lagi makarya nang omahe pakdhe,
speaker01_m_nn_utt15,adhiku kesiram wedang panas banjur nangis,
speaker01_m_nn_utt16,adhiku ngresiki kamar supaya rapi,
speaker01_m_nn_utt17,adhiku maos koran wingi sonten,
speaker01_m_nn_utt18,kancaku maca buku nang perpustakaan,
speaker01_m_nn_utt19,kancaku nang sekolahan nulis aksara jawa sregep banget,
speaker01_m_nn_utt20,kancaku sinau bahasa jawa nang sekolahan sregep banget,
speaker01_m_nn_utt21,rambutku tak potong cendhak ben kaya tentara,
speaker01_m_nn_utt22,wingi bengi sumuk banget,
speaker01_m_nn_utt23,lare sakit menika boten saged tilem,
speaker01_m_nn_utt24,piyambakipun tumbas rasukan ijem,
speaker01_m_nn_utt25,klambine mambu ora enak,
speaker01_m_nn_utt26,lintang kae pating kerlip,
speaker01_m_nn_utt27,aja gelem yen dialem wong,
speaker01_m_nn_utt28,aja seneng niru tindak kang ora prayoga,
speaker01_m_nn_utt29,kula badhe tindak dhateng sekolah rumiyin,
speaker01_m_nn_utt30,kula nyuwun idin nglinggar sakedhap,
speaker02_m_nn_utt01,pripun kabare,
speaker02_m_nn_utt02,kabar kula sae sae kemawon,
speaker02_m_nn_utt03,matur nuwun sanget,
speaker02_m_nn_utt04,angsal kula nyuwun pirsa,
speaker02_m_nn_utt05,nyuwun tulung dibantu,
speaker02_m_nn_utt06,saged dibaleni malih,
speaker02_m_nn_utt07,nyuwun pangapunten kula boten ngertos,
speaker02_m_nn_utt08,wonten pundi kamar mandinipun,
speaker02_m_nn_utt09,pinten regine niki,
speaker02_m_nn_utt10,kula badhe pesen setunggal porsi,
speaker02_m_nn_utt11,ngantos sekedhap,
speaker02_m_nn_utt12,kula manggen wonten ing bandung,
speaker02_m_nn_utt13,kula nembe nyambut damel,
speaker02_m_nn_utt14,kula badhe dhahar sekul,
speaker02_m_nn_utt15,kula ngunjuk teh anget,
speaker02_m_nn_utt16,dinten niki cuacanipun cerah,
speaker02_m_nn_utt17,kula wungu tilem jam gangsal enjang,
speaker02_m_nn_utt18,kula badhe tindak dhateng peken,
speaker02_m_nn_utt19,kula nembe maos buku,
speaker02_m_nn_utt20,mbenjang dinten minggu,
speaker02_m_nn_utt21,ngantos kepanggih malih,
speaker02_m_nn_utt22,kula badhe tindak dhateng perpustakaan kangge ngampil buku pelajaran,
speaker02_m_nn_utt23,ampun kesupen nggarap tugas griya ingkang dipun paringaken bapak guru,
speaker02_m_nn_utt24,mbenjang enjang kita kedah wungu langkung gasik supados boten telat,
speaker02_m_nn_utt25,punapa panjenengan sampun dhahar siyang wonten ing kantin sisih mrika,
speaker02_m_nn_utt26,reginipun awis sanget punapa saged dipun tawar sakedhik malih,
speaker02_m_nn_utt27,monggo pinarak wonten ing kursi ingkang sampun disediakaken ting ruang tamu,
speaker02_m_nn_utt28,amargi jawah deres kula boten saged dugi dhateng acara kasebat,
speaker02_m_nn_utt29,kula saweg sinau basa jawi alus kangge tugas kuliah kula,
speaker02_m_nn_utt30,kula saweg ngentosi kanca wonten ing ngajeng gerbang sekolah wau,
speaker03_m_nn_utt01,sugeng enjing kulo badhe dhahar,
speaker03_m_nn_utt02,kepripun kabaripun panjenengan,
speaker03_m_nn_utt03,dinten meniko dinten selasa,
speaker03_m_nn_utt04,kulo badhe nyuwun pirsa,
speaker03_m_nn_utt05,menawi panjenengan saged kulo suwun tulung,
speaker03_m_nn_utt06,sampun jam pitu sonten,
speaker03_m_nn_utt07,bapak sampun kundur saking kantor,
speaker03_m_nn_utt08,ibu nembé waosan koran,
speaker03_m_nn_utt09,kulo wangsul malih benjing énjing,
speaker03_m_nn_utt10,kulo tumbas setunggal kembang,
speaker03_m_nn_utt11,kula taksih sinau wonten griyo,
speaker03_m_nn_utt12,mangga pinarak rumiyin ing ngriki,
speaker03_m_nn_utt13,buku meniko inggil sanget reginipun,
speaker03_m_nn_utt14,panjenengan badhé tindak dateng pundi,
speaker03_m_nn_utt15,dalemipun adoh saking sekolahan,
speaker03_m_nn_utt16,kulo mangkat sekolah numpak pit,
speaker03_m_nn_utt17,dinten sabtu benjing prei,
speaker03_m_nn_utt18,kula gadhah rékaman audio kalih,
speaker03_m_nn_utt19,kulo badhe siram rumiyin,
speaker03_m_nn_utt20,énjing meniko hawane asrep,
speaker03_m_nn_utt21,menawi panjenengan kerso dhahar nopo,
speaker03_m_nn_utt22,kula ajeng tilem mawon,
speaker03_m_nn_utt23,sinten ingkang mundhut tèh meniko,
speaker03_m_nn_utt24,sepedhah meniko warninipun abrit,
speaker03_m_nn_utt25,kulo badhe tanglet babakan tugas,
speaker03_m_nn_utt26,sampun cekap semanten atur kulo,
speaker03_m_nn_utt27,kulo kedah sinau tigang wulan,
speaker03_m_nn_utt28,énjing meniko kulo badhe nyapu,
speaker03_m_nn_utt29,panjenengan kagungan dhuwit gangsal éwu,
speaker03_m_nn_utt30,maturnuwun sanget nggih sedoyo,
speaker04_f_n_utt01,kowe dina iki lunga kampus apa orak?,Redmi Note 9
speaker04_f_n_utt02,aku seneng nganggo klambi werna putih,Redmi Note 9
speaker04_f_n_utt03,aku arep ngisi botol ngombe dhisik,Redmi Note 9
speaker04_f_n_utt04,"aku ngantuk banget, kayake aku arep turu dhisik",Redmi Note 9
speaker04_f_n_utt05,"saben kali aku lunga omahmu, kowe orak ana",Redmi Note 9
